master_id,image,extracted_brand,true_brand,brand_match,extracted_quantity,true_quantity,quantity_match,extracted_gtin,true_gtin,gtin_match
1,artwork_1.png,Mars,Mars,True,51G,51g,True,5000000000012,5000000000012,True
10,artwork_10.png,Kelloggs,Kelloggs,True,480G,480g,True,5000000000104,5000000000104,True
14,artwork_14.png,PepsiCo,PepsiCo,True,32.59,32.5g,False,5000000000142,5000000000142,True
17,artwork_17.png,Danone,Danone,True,4X115G,4x115g,True,5000000000173,5000000000173,True
18,artwork_18.png,Danone,Danone,True,8X100G,8x100g,True,5000000000180,5000000000180,True
19,artwork_19.png,Arla,Arla,True,500G,500g,True,5000000000197,5000000000197,True
2,artwork_2.png,Mars,Mars,True,2X519,2x51g,False,5000000000029,5000000000029,True
21,artwork_21.png,Hovis,Hovis,True,800G,800g,True,5000000000210,5000000000210,True
22,artwork_22.png,Birds Eye,Birds Eye,True,800G,800g,True,5000000000227,5000000000227,True
24,artwork_24.png,Muller,Muller,True,6X1359,6x135g,False,5000000000241,5000000000241,True
25,artwork_25.png,Andrex,Andrex,True,9 ROLLS,9 rolls,True,,5000000000258,False
26,artwork_26.png,Purina,Purina,True,12X100G,12x100g,True,5000000000265,5000000000265,True
28,artwork_28.png,Whiskas,Whiskas,True,12X859,12x85g,False,5000000000289,5000000000289,True
29,artwork_29.png,Dreamies,Dreamies,True,60G,60g,True,5000000000296,5000000000296,True
3,artwork_3.png,Cadbury,Cadbury,True,45G,45g,True,5000000000036,5000000000036,True
30,artwork_30.png,Bakers,Bakers,True,1.2KG,1.2kg,True,5000000000302,5000000000302,True
4,artwork_4.png,Cadbury,Cadbury,True,30G,30g,True,5000000000043,5000000000043,True
5,artwork_5.png,Nestle,Nestle,True,41 59,41.5g,False,5000000000050,5000000000050,True
8,artwork_8.png,Heinz,Heinz,True,4159,415g,False,5000000000081,5000000000081,True
9,artwork_9.png,Kelloggs,Kelloggs,True,500G,500g,True,5000000000098,5000000000098,True
