event_id,true_master_id,supplier_top1_id,supplier_top1_hit,supplier_top3_hit,supplier_candidates,artwork_top1_id,artwork_top1_hit,artwork_top3_hit,artwork_candidates,supplier_signal_conflict,supplier_conflict_detail,artwork_signal_conflict,artwork_conflict_detail
abt-buy_0000,1029,1029,True,True,1029:0.71|1028:0.39|1026:0.38,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0001,1028,1028,True,True,1028:0.65|1029:0.45|1026:0.42,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0002,436,436,True,True,436:0.67|959:0.39|101:0.29,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0003,215,215,True,True,215:0.71|238:0.46|98:0.21,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0004,161,161,True,True,161:0.63|101:0.41|959:0.34,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0005,828,828,True,True,828:0.75|864:0.30|865:0.30,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0006,779,779,True,True,779:0.65|979:0.25|961:0.25,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0007,378,378,True,True,378:0.75|375:0.23|308:0.21,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0008,1026,1026,True,True,1026:0.72|1029:0.41|135:0.40,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0009,135,135,True,True,135:0.76|1026:0.37|1029:0.31,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0010,1027,1027,True,True,1027:0.63|1026:0.34|1029:0.34,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0011,463,463,True,True,463:0.74|366:0.36|1081:0.32,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0012,219,219,True,True,219:0.79|119:0.22|239:0.21,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0013,959,959,True,True,959:0.73|289:0.34|436:0.33,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0014,238,238,True,True,238:0.63|215:0.39|98:0.27,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0015,824,824,True,True,824:0.71|974:0.23|864:0.21,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0016,60,60,True,True,60:0.71|600:0.21|40:0.21,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0017,1081,1081,True,True,1081:0.78|463:0.35|1021:0.34,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0018,100,100,True,True,100:0.72|90:0.32|870:0.31,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0019,827,827,True,True,827:0.57|829:0.20|877:0.20,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0020,90,90,True,True,90:0.57|100:0.41|1020:0.29,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0021,26,26,True,True,26:0.74|16:0.28|96:0.26,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0022,1080,1080,True,True,1080:0.70|1050:0.26|1079:0.23,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0023,408,408,True,True,408:0.74|117:0.31|101:0.28,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0024,117,117,True,True,117:0.78|408:0.33|107:0.25,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0025,101,101,True,True,101:0.78|107:0.41|161:0.41,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0026,195,195,True,True,195:0.82|345:0.49|835:0.34,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0027,125,125,True,True,125:0.56|525:0.19|145:0.19,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0028,93,93,True,True,93:0.49|293:0.42|97:0.39,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0029,91,91,True,True,91:0.43|891:0.33|97:0.32,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0030,435,435,True,True,435:0.51|434:0.30|433:0.29,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0031,92,92,True,True,92:0.51|97:0.39|94:0.38,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0032,96,96,True,True,96:0.59|97:0.39|94:0.37,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0033,97,97,True,True,97:0.65|293:0.42|94:0.34,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0034,199,199,True,True,199:0.70|293:0.40|97:0.39,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0035,759,759,True,True,759:0.75|729:0.41|769:0.33,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0036,107,107,True,True,107:0.65|101:0.40|959:0.32,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0037,729,729,True,True,729:0.58|759:0.44|25:0.33,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0038,1004,1004,True,True,1004:0.70|959:0.35|289:0.31,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0039,1065,1065,True,True,1065:0.54|1035:0.19|1037:0.19,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0040,410,410,True,True,410:0.70|210:0.26|403:0.25,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0041,410,410,True,True,410:0.61|403:0.30|1077:0.27,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0042,110,110,True,True,110:0.61|910:0.33|111:0.28,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0043,293,293,True,True,293:0.58|97:0.31|110:0.29,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0044,111,111,True,True,111:0.57|910:0.34|891:0.31,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0045,50,50,True,True,50:0.79|56:0.57|367:0.33,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0046,1072,1072,True,True,1072:0.65|59:0.25|72:0.24,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0047,404,404,True,True,404:0.79|407:0.23|98:0.22,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0048,994,994,True,True,994:0.83|1003:0.38|780:0.37,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0049,58,58,True,True,58:0.75|57:0.44|354:0.39,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0050,57,57,True,True,57:0.64|58:0.41|354:0.39,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0051,78,78,True,True,78:0.65|72:0.41|268:0.38,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0052,72,72,True,True,72:0.56|78:0.31|269:0.30,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0053,345,345,True,True,345:0.82|195:0.46|781:0.36,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0054,163,163,True,True,163:0.68|167:0.28|333:0.25,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
abt-buy_0055,77,77,True,True,77:0.66|877:0.47|172:0.24,1,False,False,1:0.00|2:0.00|3:0.00,False,,False,
