event_id,true_master_id,brand_artwork_vs_supplier,brand_artwork_vs_master,brand_supplier_vs_master,brand_all_agree,quantity_artwork_vs_supplier,quantity_artwork_vs_master,quantity_supplier_vs_master,quantity_all_agree,gtin_artwork_vs_supplier,gtin_artwork_vs_master,gtin_supplier_vs_master,gtin_all_agree,fields_fully_agreed,fields_compared,agreement_score,cross_check_status,artwork_fields_wrong_vs_master,supplier_fields_wrong_vs_master
abt-buy_0000,1029,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0001,1028,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0002,436,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0003,215,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0004,161,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0005,828,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0006,779,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0007,378,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0008,1026,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0009,135,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0010,1027,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0011,463,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0012,219,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0013,959,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0014,238,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0015,824,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0016,60,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0017,1081,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0018,100,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0019,827,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0020,90,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0021,26,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0022,1080,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0023,408,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0024,117,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0025,101,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0026,195,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
abt-buy_0027,125,False,False,False,False,False,False,False,False,False,False,True,False,0,3,0.0,disagreement,3,2
