event_id,true_master_id,supplier_raw_brand,supplier_raw_product_name,supplier_raw_quantity,supplier_raw_gtin,supplier_norm_brand,supplier_norm_product_name,supplier_norm_quantity,supplier_norm_gtin,artwork_brand,artwork_product_name,artwork_quantity,artwork_gtin,artwork_norm_brand,artwork_norm_quantity,master_brand,master_product_name,master_quantity,master_gtin,master_norm_brand,master_norm_quantity
abt-buy_0000,1029,LINKSYS,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,,80000000010297,linksys,linksys etherfast ezxs88w ethernet switch - ezxs88w,,80000000010297,,,,,,,,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W,,80000000010297,,
abt-buy_0001,1028,LINKSYS,Linksys EtherFast EZXS55W Ethernet Switch,,80000000010287,linksys,linksys etherfast ezxs55w ethernet switch,,80000000010287,,,,,,,,Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W,,80000000010287,,
abt-buy_0002,436,Netgear,Netgear ProSafe FS105 Ethernet Switch - FS105NA,,80000000004367,netgear,netgear prosafe fs105 ethernet switch - fs105na,,80000000004367,,,,,,,,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105,,80000000004367,,
abt-buy_0003,215,Belkin,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,,80000000002157,belkin,belkin pro series high integrity vga/svga monitor extension cable - f3h982-10,,80000000002157,,,,,,,,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,,80000000002157,,
abt-buy_0004,161,Netgear,Netgear ProSafe JFS516 Ethernet Switch,,80000000001617,netgear,netgear prosafe jfs516 ethernet switch,,80000000001617,,,,,,,,Netgear Prosafe 16 Port 10/100 Rackmount Switch - Black Finish - JFS516NA,,80000000001617,,
abt-buy_0005,828,LACIE,LaCie Pocket Floppy Disk Drive - 706018,,80000000008287,lacie,lacie pocket floppy disk drive - 706018,,80000000008287,,,,,,,,LaCie USB 2.0 Floppy Disk Drive - 706018,,80000000008287,,
abt-buy_0006,779,Canon,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,,80000000007797,canon,canon kp 36ip print cartridge / paper kit - 7737a001,,80000000007797,,,,,,,,Canon KP-36IP Color Ink & Paper Set - 7737A001,,80000000007797,,
abt-buy_0007,378,Kensington,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,,80000000003787,kensington,kensington orbit optical trackball - usb w/ps2 adapter - 64327,,80000000003787,,,,,,,,Kensington Orbit Optical Trackball Mouse - 64327,,80000000003787,,
abt-buy_0008,1026,LINKSYS,Linksys EtherFast EF4116 Ethernet Switch,,80000000010267,linksys,linksys etherfast ef4116 ethernet switch,,80000000010267,,,,,,,,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116,,80000000010267,,
abt-buy_0009,135,LINKSYS,Linksys EtherFast EF4124 Ethernet Switch,,80000000001357,linksys,linksys etherfast ef4124 ethernet switch,,80000000001357,,,,,,,,Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124,,80000000001357,,
abt-buy_0010,1027,LINKSYS,Linksys Instant Gigabit EG005W Ethernet Switch,,80000000010277,linksys,linksys instant gigabit eg005w ethernet switch,,80000000010277,,,,,,,,Linksys Gigabit 5-Port Workgroup Switch - EG005W,,80000000010277,,
abt-buy_0011,463,LINKSYS,Linksys G Wireless-G WET54G Wireless Bridge,,80000000004637,linksys,linksys g wireless-g wet54g wireless bridge,,80000000004637,,,,,,,,Linksys Wireless-G Ethernet Bridge - WET54G,,80000000004637,,
abt-buy_0012,219,Tripp Lite,Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,,80000000002197,tripp lite,tripp lite powerverter 375-watt ultra-compact inverter - pv375,,80000000002197,,,,,,,,Tripp-Lite PV375 PowerVerter 375-Watt Ultra-Compact Inverter - PV375,,80000000002197,,
abt-buy_0013,959,Netgear,Netgear ProSafe GS105 Ethernet Switch - GS105NA,,80000000009597,netgear,netgear prosafe gs105 ethernet switch - gs105na,,80000000009597,,,,,,,,Netgear Prosafe 5 Port Gigabit Ethernet Desktop Switch - GS105NA,,80000000009597,,
abt-buy_0014,238,Belkin,Belkin Monitor Cable - F3H982-25,,80000000002387,belkin,belkin monitor cable - f3h982-25,,80000000002387,,,,,,,,Belkin F3H982-25 Black 25 Ft Pro Series High Integrity VGA/SVGA Monitor Replacement Cable - F3H98225,,80000000002387,,
abt-buy_0015,824,Logitech,Logitech Driving Force Pro for PlayStation 2 - 963293-0403,,80000000008247,logitech,logitech driving force pro for playstation 2 - 963293-0403,,80000000008247,,,,,,,,Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403,,80000000008247,,
abt-buy_0016,60,Belkin,Belkin AC Anywhere 300W Power Inverter - F5C400-300W,,80000000000607,belkin,belkin ac anywhere 300w power inverter - f5c400-300w,,80000000000607,,,,,,,,Belkin AC Anywhere - F5C400300W,,80000000000607,,
abt-buy_0017,1081,LINKSYS,Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,,80000000010817,linksys,linksys wireless-g range expander wireless bridge - wre54g,,80000000010817,,,,,,,,Linksys Wireless-G Range Expander - WRE54G,,80000000010817,,
abt-buy_0018,100,Sony,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,,80000000001007,sony,sony vaio notebook and ac adapter case - vgpamc2,,80000000001007,,,,,,,,Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2,,80000000001007,,
abt-buy_0019,827,D-Link,D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202,,80000000008277,d-link,d-link express ethernetwork high-speed docsis 2.0 cable modem - dcm-202,,80000000008277,,,,,,,,D-Link Broadband Cable Modem - DCM202,,80000000008277,,
abt-buy_0020,90,Sony,Sony Notebook and AC Adapter Cases - VGPAMC3,,80000000000907,sony,sony notebook and ac adapter cases - vgpamc3,,80000000000907,,,,,,,,Sony VAIO Neoprene Laptop Carrying Case - Black Finish - VGPAMC3,,80000000000907,,
abt-buy_0021,26,Panasonic,Panasonic Black Toner Cartridge - KX-FA83,,80000000000267,panasonic,panasonic black toner cartridge - kx-fa83,,80000000000267,,,,,,,,Panasonic Laser Toner Cartridge - KXFA83,,80000000000267,,
abt-buy_0022,1080,Logitech,Logitech Z-2300 Multimedia Speaker System - 970118-0403,,80000000010807,logitech,logitech z-2300 multimedia speaker system - 970118-0403,,80000000010807,,,,,,,,Logitech 2.1 Multimedia Silver Speaker System - Z2300,,80000000010807,,
abt-buy_0023,408,Netgear,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,,80000000004087,netgear,netgear prosafe wg102 wireless access point 802.11g - wg102na,,80000000004087,,,,,,,,Netgear Wireless Access Point - WG102,,80000000004087,,
abt-buy_0024,117,Netgear,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,,80000000001177,netgear,netgear rangemax wpn802 wireless access point - wpn802na,,80000000001177,,,,,,,,Netgear RangeMax Wireless Access Point - White Finish - WPN802NA,,80000000001177,,
abt-buy_0025,101,Netgear,Netgear ProSafe FS726TP 24 Port 10/100 Smart Switch - FS726TPNA,,80000000001017,netgear,netgear prosafe fs726tp 24 port 10/100 smart switch - fs726tpna,,80000000001017,,,,,,,,NetGear ProSafe 24 Port Smart Switch - FS726TP,,80000000001017,,
abt-buy_0026,195,,Linksys WRV54G Wireless-G VPN Broadband Router,,80000000001957,,linksys wrv54g wireless-g vpn broadband router,,80000000001957,,,,,,,,Linksys Wireless-G VPN Broadband Silver Router - WRV54G,,80000000001957,,
abt-buy_0027,125,"SQUARE ENIX, LLC",Kingdom Hearts II,,80000000001257,"square enix, llc",kingdom hearts ii,,80000000001257,,,,,,,,Kingdom Hearts II Video Game For The Sony PS2 - 662248904115,,80000000001257,,
abt-buy_0028,93,Canon,Canon CLI-8M Ink Cartridge - 0622B002,,80000000000937,canon,canon cli-8m ink cartridge - 0622b002,,80000000000937,,,,,,,,Canon Magenta Ink Tank - Magenta - CLI8M,,80000000000937,,
