true_master_id,submitted_brand,submitted_product_name,submitted_quantity,submitted_gtin,corruption_applied
11,Coca-Cola,COCA-COLA ORIGINAL,330ml,5000000001111,name_truncated|name_upper|barcode_error
2,Mars Inc,MARS BAR TWIN,2x51g,5000000000029,brand_abbrev|name_truncated|name_upper|unit_reformatted
4,Cadbury,Dairy Milk Buttons,0.030kg,5000000000043,unit_reformatted
2,Mars,Mars Bar Twin,2x51g,500000000029,name_truncated|unit_reformatted|barcode_error
18,Danone,Actimel Original,8x100g,5000000000180,name_truncated
18,Danone SA,Actimel Original,8x100g,5000000000180,brand_abbrev
15,UNLVR,PERSIL NON-BIO WASHING,1.43L,5000000000159,brand_abbrev|name_truncated|name_upper|unit_reformatted
3,cadbury,Dairy Milk Chocolate,0.045kg,5000000000036,brand_abbrev|name_truncated|unit_reformatted
3,CDBRY,Dairy Milk Chocolate,45g,5000000000036,brand_abbrev|name_truncated
22,B.Eye,Garden Peas,0.800kg,5000000000227,brand_abbrev|name_truncated|unit_reformatted
3,Cadbury,Dairy Milk Chocolate Bar,45g,5000000000026,barcode_error
10,kelloggs,Coco Pops,0.480kg,5000000000104,brand_abbrev|name_truncated|unit_reformatted
16,UNLVR,MARMITE YEAST,0.250kg,5000000000166,brand_abbrev|name_truncated|name_upper|unit_reformatted
3,CDBRY,Dairy Milk Chocolate Bar,45g,5000000000036,brand_abbrev
9,KLGS,Corn Flakes,0.500kg,5010000000098,brand_abbrev|unit_reformatted|barcode_error
1,mars,MARS BAR,0.051kg,5000000000012,brand_abbrev|name_truncated|name_upper|unit_reformatted
20,Warburton's,Toastie White Bread,800g,5000000000203,brand_abbrev
2,mars,Mars Bar Twin Pack,2x51g,5000000000129,brand_abbrev|unit_reformatted|barcode_error
3,Cadbury,DAIRY MILK CHOCOLATE,45g,5000000001036,name_truncated|name_upper|barcode_error
12,Coke,Diet Coke,0.33L,5000000000128,brand_abbrev|unit_reformatted
12,Coca Cola,Diet Coke,330ml,5000000000128,brand_abbrev|name_truncated
16,Unilever PLC,Marmite Yeast,0.250kg,5000000000166,brand_abbrev|name_truncated|unit_reformatted
6,Nestlé,Nescafe Gold Blend Instant Coffee,0.200kg,5000000000067,brand_abbrev|unit_reformatted
1,Mars Inc,Mars Bar,51g,5000000000012,brand_abbrev
12,Coca-Cola,DIET COKE,330ml,5000000000128,name_truncated|name_upper
21,HOVIS LTD,Wholemeal Bread,800g,5000000010210,brand_abbrev|barcode_error
1,Mars Inc,Mars Bar,51g,5000000000012,brand_abbrev|name_truncated
30,BAKERS LTD,Bakers Adult Dog Food Beef,1.2kg,5009000000302,brand_abbrev|unit_reformatted|barcode_error
20,Warburtons,TOASTIE WHITE BREAD,800g,5000000000203,name_upper
21,HOVIS LTD,Wholemeal Bread,800g,5000000000210,brand_abbrev
6,Nestles,Nescafe Gold Blend Instant,200g,5000000000067,brand_abbrev|name_truncated
13,Pepsi Co,PEPSI MAX,0.33L,500000000135,brand_abbrev|name_upper|unit_reformatted|barcode_error
5,Nestles,KitKat 4 Finger,0.042kg,5000000000050,brand_abbrev|unit_reformatted
5,Nestles,KitKat 4 Finger,41.5g,5000000000050,brand_abbrev
28,WHISKAS LTD,WHISKAS ADULT CAT FOOD,12x85g,5000000000289,brand_abbrev|name_truncated|name_upper
11,Coca Cola,COCA-COLA ORIGINAL TASTE,330ml,5000000000111,brand_abbrev|name_upper
22,B.Eye,Garden Peas,0.800kg,5000000090227,brand_abbrev|unit_reformatted|barcode_error
