true_master_id,raw_brand,raw_product_name,raw_quantity,raw_gtin,norm_brand,norm_product_name,norm_quantity,norm_gtin,corruption_applied
11,Coca-Cola,COCA-COLA ORIGINAL,330ml,5000000001111,cocacola,cocacola original,330ml,5000000001111,name_truncated|name_upper|barcode_error
2,Mars Inc,MARS BAR TWIN,2x51g,5000000000029,mars inc,mars bar twin,102g,5000000000029,brand_abbrev|name_truncated|name_upper|unit_reformatted
4,Cadbury,Dairy Milk Buttons,0.030kg,5000000000043,cadbury,dairy milk buttons,30g,5000000000043,unit_reformatted
2,Mars,Mars Bar Twin,2x51g,500000000029,mars,mars bar twin,102g,500000000029,name_truncated|unit_reformatted|barcode_error
18,Danone,Actimel Original,8x100g,5000000000180,danone,actimel original,800g,5000000000180,name_truncated
18,Danone SA,Actimel Original,8x100g,5000000000180,danone sa,actimel original,800g,5000000000180,brand_abbrev
15,UNLVR,PERSIL NON-BIO WASHING,1.43L,5000000000159,unlvr,persil nonbio washing,1430ml,5000000000159,brand_abbrev|name_truncated|name_upper|unit_reformatted
3,cadbury,Dairy Milk Chocolate,0.045kg,5000000000036,cadbury,dairy milk chocolate,45g,5000000000036,brand_abbrev|name_truncated|unit_reformatted
3,CDBRY,Dairy Milk Chocolate,45g,5000000000036,cdbry,dairy milk chocolate,45g,5000000000036,brand_abbrev|name_truncated
22,B.Eye,Garden Peas,0.800kg,5000000000227,beye,garden peas,800g,5000000000227,brand_abbrev|name_truncated|unit_reformatted
3,Cadbury,Dairy Milk Chocolate Bar,45g,5000000000026,cadbury,dairy milk chocolate bar,45g,5000000000026,barcode_error
10,kelloggs,Coco Pops,0.480kg,5000000000104,kelloggs,coco pops,480g,5000000000104,brand_abbrev|name_truncated|unit_reformatted
16,UNLVR,MARMITE YEAST,0.250kg,5000000000166,unlvr,marmite yeast,250g,5000000000166,brand_abbrev|name_truncated|name_upper|unit_reformatted
3,CDBRY,Dairy Milk Chocolate Bar,45g,5000000000036,cdbry,dairy milk chocolate bar,45g,5000000000036,brand_abbrev
9,KLGS,Corn Flakes,0.500kg,5010000000098,klgs,corn flakes,500g,5010000000098,brand_abbrev|unit_reformatted|barcode_error
1,mars,MARS BAR,0.051kg,5000000000012,mars,mars bar,51g,5000000000012,brand_abbrev|name_truncated|name_upper|unit_reformatted
20,Warburton's,Toastie White Bread,800g,5000000000203,warburtons,toastie white bread,800g,5000000000203,brand_abbrev
2,mars,Mars Bar Twin Pack,2x51g,5000000000129,mars,mars bar twin pack,102g,5000000000129,brand_abbrev|unit_reformatted|barcode_error
3,Cadbury,DAIRY MILK CHOCOLATE,45g,5000000001036,cadbury,dairy milk chocolate,45g,5000000001036,name_truncated|name_upper|barcode_error
12,Coke,Diet Coke,0.33L,5000000000128,coke,diet coke,330ml,5000000000128,brand_abbrev|unit_reformatted
12,Coca Cola,Diet Coke,330ml,5000000000128,coca cola,diet coke,330ml,5000000000128,brand_abbrev|name_truncated
16,Unilever PLC,Marmite Yeast,0.250kg,5000000000166,unilever plc,marmite yeast,250g,5000000000166,brand_abbrev|name_truncated|unit_reformatted
6,Nestlé,Nescafe Gold Blend Instant Coffee,0.200kg,5000000000067,nestlé,nescafe gold blend instant coffee,200g,5000000000067,brand_abbrev|unit_reformatted
1,Mars Inc,Mars Bar,51g,5000000000012,mars inc,mars bar,51g,5000000000012,brand_abbrev
12,Coca-Cola,DIET COKE,330ml,5000000000128,cocacola,diet coke,330ml,5000000000128,name_truncated|name_upper
21,HOVIS LTD,Wholemeal Bread,800g,5000000010210,hovis ltd,wholemeal bread,800g,5000000010210,brand_abbrev|barcode_error
1,Mars Inc,Mars Bar,51g,5000000000012,mars inc,mars bar,51g,5000000000012,brand_abbrev|name_truncated
30,BAKERS LTD,Bakers Adult Dog Food Beef,1.2kg,5009000000302,bakers ltd,bakers adult dog food beef,1200g,5009000000302,brand_abbrev|unit_reformatted|barcode_error
20,Warburtons,TOASTIE WHITE BREAD,800g,5000000000203,warburtons,toastie white bread,800g,5000000000203,name_upper
21,HOVIS LTD,Wholemeal Bread,800g,5000000000210,hovis ltd,wholemeal bread,800g,5000000000210,brand_abbrev
6,Nestles,Nescafe Gold Blend Instant,200g,5000000000067,nestles,nescafe gold blend instant,200g,5000000000067,brand_abbrev|name_truncated
13,Pepsi Co,PEPSI MAX,0.33L,500000000135,pepsi co,pepsi max,330ml,500000000135,brand_abbrev|name_upper|unit_reformatted|barcode_error
5,Nestles,KitKat 4 Finger,0.042kg,5000000000050,nestles,kitkat 4 finger,42g,5000000000050,brand_abbrev|unit_reformatted
5,Nestles,KitKat 4 Finger,41.5g,5000000000050,nestles,kitkat 4 finger,41.5g,5000000000050,brand_abbrev
28,WHISKAS LTD,WHISKAS ADULT CAT FOOD,12x85g,5000000000289,whiskas ltd,whiskas adult cat food,1020g,5000000000289,brand_abbrev|name_truncated|name_upper
11,Coca Cola,COCA-COLA ORIGINAL TASTE,330ml,5000000000111,coca cola,cocacola original taste,330ml,5000000000111,brand_abbrev|name_upper
22,B.Eye,Garden Peas,0.800kg,5000000090227,beye,garden peas,800g,5000000090227,brand_abbrev|unit_reformatted|barcode_error
25,ANDREX LTD,CLASSIC CLEAN TOILET TISSUE,9 rolls,5000000000258,andrex ltd,classic clean toilet tissue,9 rolls,5000000000258,brand_abbrev|name_upper|unit_reformatted
4,CDBRY,Dairy Milk Buttons,0.030kg,5000000000043,cdbry,dairy milk buttons,30g,5000000000043,brand_abbrev|unit_reformatted
29,DREAMIES,DREAMIES CAT TREATS,0.060kg,5000000000296,dreamies,dreamies cat treats,60g,5000000000296,brand_abbrev|name_truncated|name_upper|unit_reformatted
1,MRS,Mars Bar,51g,5000000000012,mrs,mars bar,51g,5000000000012,brand_abbrev|name_truncated
23,MCCAIN,OVEN CHIPS,1kg,5000000000234,mccain,oven chips,1000g,5000000000234,brand_abbrev|name_upper
30,Baker's,BAKERS ADULT DOG FOOD BEEF,1.2kg,5000000000302,bakers,bakers adult dog food beef,1200g,5000000000302,brand_abbrev|name_upper|unit_reformatted
3,CDBRY,Dairy Milk Chocolate,45g,5000000000036,cdbry,dairy milk chocolate,45g,5000000000036,brand_abbrev|name_truncated
5,Nestle,KitKat 4 Finger,0.042kg,5000000100050,nestle,kitkat 4 finger,42g,5000000100050,unit_reformatted|barcode_error
13,PepsiCo,Pepsi Max,0.33L,5000000000135,pepsico,pepsi max,330ml,5000000000135,name_truncated|unit_reformatted
17,DANON,Activia Strawberry,4x115g,5000000010173,danon,activia strawberry,460g,5000000010173,brand_abbrev|name_truncated|barcode_error
13,pepsico,Pepsi Max,0.33L,5000000000135,pepsico,pepsi max,330ml,5000000000135,brand_abbrev|name_truncated|unit_reformatted
8,Heinz,BAKED BEANS IN TOMATO,0.415kg,5000000000081,heinz,baked beans in tomato,415g,5000000000081,name_truncated|name_upper|unit_reformatted
9,KLGS,Corn Flakes,500g,5000000000098,klgs,corn flakes,500g,5000000000098,brand_abbrev
18,Danone,Actimel Original,8x100g,5000000000190,danone,actimel original,800g,5000000000190,unit_reformatted|barcode_error
9,Kelloggs,Corn Flakes,0.500kg,5000000000098,kelloggs,corn flakes,500g,5000000000098,unit_reformatted
3,Cadburys,Dairy Milk Chocolate,45g,5000000000036,cadburys,dairy milk chocolate,45g,5000000000036,brand_abbrev|name_truncated
9,Kellogg's,CORN FLAKES,0.500kg,4000000000098,kelloggs,corn flakes,500g,4000000000098,brand_abbrev|name_upper|unit_reformatted|barcode_error
21,HOVIS LTD,Wholemeal Bread,0.800kg,5000000000210,hovis ltd,wholemeal bread,800g,5000000000210,brand_abbrev|name_truncated|unit_reformatted
1,Mars,MARS BAR,51g,5000000000012,mars,mars bar,51g,5000000000012,name_truncated|name_upper
17,DANON,Activia Strawberry,4x115g,5000000000173,danon,activia strawberry,460g,5000000000173,brand_abbrev|name_truncated|unit_reformatted
27,Pedigree,Pedigree Adult Dog Food Chicken,1.2kg,500000000272,pedigree,pedigree adult dog food chicken,1200g,500000000272,unit_reformatted|barcode_error
23,McCain Foods,Oven Chips,1kg,500000000234,mccain foods,oven chips,1000g,500000000234,brand_abbrev|name_truncated|unit_reformatted|barcode_error
